time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,0.0943475,-0.0290266,0.0877349,-0.0571966,0.86738,2.62858,-0.28904,0.0743048,-0.270099,-0.183147,0.175617,-2.44673e-07,0,0.309599,-0.0547682,-0.00368447,-0.247364,-0.0986344,2.03037e-07,0,-0.19705,0.0364221,0.0396062,0.528815,-0.205289,0.446791,0.589047,1.00684,-1.06094e-07,-1.79153e-07,-0.344674,-0.191209,2.79622,-0.316815,-0.923499,2.85635e-07,8.54508e-08
0.96,0.106959,-0.000901116,0.0849371,-0.0508077,0.870936,2.61258,-0.287019,0.0145551,-0.226741,-0.34039,0.132312,-2.04858e-07,0,0.259105,-0.0155837,-0.0124139,-0.308985,-0.0902466,-1.78505e-07,0,-0.199273,0.0142813,0.023331,0.454253,-0.200063,0.394066,0.627219,1.06596,-2.02746e-08,-3.1118e-07,-0.345043,-0.171038,2.77746,-0.308577,-0.945555,3.5016e-07,1.30251e-07
1.02,0.104675,0.0278297,0.0617606,-0.0486602,0.877193,2.59859,-0.160124,-0.056661,-0.156149,-0.645364,0.0137885,-2.65506e-07,0,0.189375,0.0249254,-0.0215577,-0.298562,-0.0543672,-2.78457e-07,0,-0.195442,-0.0144349,0.0152282,0.372846,-0.187299,0.353814,0.607621,1.12901,1.60096e-07,-3.45051e-07,-0.305748,-0.158469,2.7736,-0.332976,-0.958597,5.25879e-07,-1.4353e-07
1.09,0.0785934,0.0687871,-0.000792593,-0.0524114,0.879782,2.58885,0.102871,-0.138291,-0.0777125,-1.01447,-0.0623702,-8.73096e-07,0,0.11996,0.0788791,-0.073441,-0.255118,0.00338782,-5.88062e-08,0,-0.176625,-0.0669636,0.0196148,0.300768,-0.166203,0.324353,0.502107,1.22227,1.08562e-07,-4.37409e-08,-0.225974,-0.170659,2.78532,-0.385293,-0.978777,8.37234e-07,-5.22943e-08
1.15,0.0737498,0.0692822,-0.0436992,-0.057577,0.88168,2.58407,0.276792,-0.139156,-0.0583312,-1.11544,-3.64362e-05,-8.09603e-07,0,0.0498611,0.0911683,-0.0984711,-0.222255,0.0332925,-3.16811e-07,0,-0.181606,-0.0729555,0.0145332,0.248104,-0.166792,0.318634,0.385384,1.25536,-1.77849e-07,1.68704e-07,-0.122894,-0.196088,2.80151,-0.41685,-0.98383,1.86593e-07,2.03662e-07
1.2,0.0690777,0.0617204,-0.0654129,-0.0611991,0.882028,2.58162,0.374319,-0.120113,-0.0705175,-1.03651,0.0680951,-6.40788e-07,0,-0.0079293,0.0926285,-0.109018,-0.191869,0.0551542,-2.05007e-07,0,-0.181238,-0.0664321,0.0044272,0.199181,-0.176137,0.312001,0.287299,1.26293,-1.33542e-07,2.64848e-07,-0.0245034,-0.222451,2.81786,-0.435635,-0.980373,1.59968e-07,6.14249e-08
1.23,0.0605039,0.0621218,-0.0740384,-0.0625843,0.880672,2.58073,0.419467,-0.114396,-0.0867954,-0.939396,0.0934772,-4.74294e-07,0,-0.0362261,0.0978706,-0.118003,-0.17484,0.0718473,-7.70706e-08,0,-0.172522,-0.0672014,-0.00326298,0.167872,-0.183553,0.304211,0.230688,1.2684,-1.10737e-07,2.57291e-07,0.0325514,-0.240034,2.83038,-0.448785,-0.977528,1.89741e-07,8.05749e-09
1.27,0.0440442,0.0664349,-0.0768866,-0.0634775,0.877404,2.58015,0.455958,-0.111278,-0.121252,-0.754701,0.103111,-3.98044e-07,0,-0.0673087,0.107099,-0.128764,-0.155657,0.0982799,-2.78915e-07,0,-0.155476,-0.0716587,-0.0167158,0.122417,-0.193964,0.289062,0.16611,1.27812,-2.19514e-08,3.51857e-08,0.102695,-0.263227,2.85293,-0.472813,-0.974917,4.43338e-07,-1.14609e-07
1.31,0.0321523,0.0665806,-0.0698254,-0.0631729,0.873583,2.58035,0.463564,-0.104214,-0.162948,-0.542915,0.0854385,-2.50718e-07,0,-0.102543,0.109668,-0.131349,-0.142568,0.124357,-4.24931e-07,0,-0.143481,-0.0699191,-0.0365728,0.0741766,-0.204635,0.269465,0.122129,1.28715,3.19025e-08,-2.47697e-07,0.16258,-0.283943,2.88156,-0.502094,-0.975052,4.42448e-07,-2.32095e-07
1.35,0.0260216,0.0648912,-0.0559307,-0.0621965,0.869839,2.58188,0.452723,-0.0944164,-0.191456,-0.35028,0.0526385,1.2945e-07,0,-0.140823,0.106068,-0.128632,-0.138811,0.144323,-2.81491e-07,0,-0.138336,-0.0667838,-0.0566525,0.0257601,-0.211697,0.249923,0.0948976,1.29287,4.16168e-08,-1.6347e-08,0.212368,-0.2983,2.90917,-0.540073,-0.97798,2.27715e-07,3.87838e-08
