time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0,0.120351,0.189674,-0.027882,-0.0655653,0.856756,2.64217,-0.361329,-0.152916,-0.128854,-0.460782,0.0912071,1.49742e-07,0,0.267933,0.117597,-0.171604,-0.286654,-0.202106,-7.3779e-07,0,-0.474454,-1.03009,-0.600203,0.364241,0.27739,0.70306,0.412878,1.58442,7.02649e-07,-1.63855e-07,-0.953341,0.405372,1.6295,-1.68913,1.21052,1.00067e-06,2.14727e-07
0.01,0.137883,0.188011,-0.0236219,-0.0646461,0.858652,2.63961,-0.352534,-0.156832,-0.135787,-0.530166,0.0771512,-2.30261e-07,0,0.247255,0.118641,-0.176006,-0.309982,-0.196514,1.06363e-06,0,-0.503104,-1.02146,-0.619876,0.36158,0.285609,0.699682,0.395772,1.56687,-1.01788e-07,-1.49066e-07,-0.956996,0.406972,1.62619,-1.68648,1.18274,-1.00728e-07,2.40515e-08
0.02,0.0915942,-0.0126034,-0.0167607,-0.0827483,0.86246,2.59271,-0.218725,-0.019162,-0.0661996,-0.615396,-0.167017,-1.38585e-07,0,0.313917,-0.0029076,0.0219632,-0.34786,-0.122618,-6.99122e-07,0,-0.257467,-0.0116424,0.100285,0.235338,-0.224074,0.195848,0.720239,1.48957,-6.61177e-07,3.6453e-07,-0.186042,-0.0444066,1.93362,-0.367778,0.94064,8.34709e-07,2.52984e-07
0.03,0.0689909,0.0538232,-0.0247376,-0.0805864,0.86173,2.59039,-0.156176,-0.11111,-0.111357,-0.699274,-0.174145,-8.79128e-07,0,0.341756,0.060678,-0.0542866,-0.386557,-0.0381584,-4.8047e-07,0,-0.226384,-0.0834249,0.0958932,0.22921,-0.186098,0.12983,0.668449,1.48864,2.77923e-07,7.82582e-08,-0.137737,-0.0838585,1.7583,-0.226282,0.729407,4.18268e-07,-1.60723e-07
0.04,0.0747064,0.044002,-0.0211194,-0.0817943,0.864106,2.58824,-0.130027,-0.0930068,-0.0810629,-0.761537,-0.179895,3.03265e-07,0,0.311734,0.0567287,-0.0356244,-0.362295,-0.0437565,-9.20196e-08,0,-0.238479,-0.0706879,0.0803016,0.225404,-0.184835,0.130562,0.681432,1.49083,3.03424e-07,7.08074e-08,-0.126734,-0.0734015,1.72677,-0.232571,0.704356,-1.76611e-07,1.3581e-07
0.05,0.0777479,0.0427697,-0.0129245,-0.0786823,0.866387,2.58557,-0.120867,-0.0871596,-0.0733344,-0.791244,-0.183567,-6.22669e-07,0,0.292466,0.0607757,-0.034675,-0.36801,-0.0443453,-2.4453e-08,0,-0.234982,-0.0672099,0.0774679,0.20359,-0.187325,0.131762,0.67055,1.49074,-5.08488e-07,4.79666e-07,-0.123411,-0.0725171,1.71986,-0.23377,0.698765,4.59044e-07,1.03026e-07
0.06,0.083867,0.0381995,-0.0218159,-0.081906,0.868408,2.58464,-0.0777496,-0.086339,-0.0646988,-0.869637,-0.202402,3.29937e-08,0,0.269502,0.0566605,-0.0246463,-0.358144,-0.0410875,-1.44422e-07,0,-0.250454,-0.0638004,0.0783241,0.209153,-0.185522,0.133858,0.666617,1.49304,5.62231e-08,3.39429e-07,-0.0999876,-0.0681466,1.69508,-0.23662,0.677365,4.88148e-07,5.92872e-08
0.07,0.0847978,0.0391871,-0.0184911,-0.0801058,0.870288,2.58324,-0.0559311,-0.0822785,-0.0574747,-0.911469,-0.210478,-9.17346e-07,0,0.249858,0.0588946,-0.0264522,-0.355675,-0.0382447,-2.0238e-07,0,-0.247484,-0.065249,0.0755306,0.194293,-0.190361,0.135275,0.652585,1.49381,-8.23118e-07,7.90826e-07,-0.0923147,-0.0716751,1.6824,-0.237444,0.667107,6.35913e-07,5.96463e-07
0.08,0.0830397,0.0398555,-0.034424,-0.08282,0.872005,2.58188,-0.00653065,-0.0913205,-0.0530737,-0.973398,-0.216813,-9.87576e-07,0,0.232031,0.0608428,-0.0291745,-0.340736,-0.029189,-2.44359e-07,0,-0.25221,-0.0666759,0.0811296,0.200579,-0.183775,0.140916,0.638063,1.49652,-4.69491e-07,2.70417e-07,-0.0700327,-0.0664681,1.65868,-0.232612,0.646596,1.50812e-07,4.33711e-07
0.09,0.0843007,0.0409162,-0.0280659,-0.0804814,0.874145,2.57963,0.0103577,-0.0872329,-0.0473631,-0.998807,-0.215237,-7.23153e-07,0,0.21325,0.065363,-0.0345366,-0.341315,-0.0272356,-1.70555e-07,0,-0.24793,-0.0651927,0.0752686,0.180109,-0.183907,0.143199,0.624064,1.4967,1.89244e-07,-9.99742e-08,-0.0620045,-0.0671603,1.65376,-0.232702,0.642206,-4.72753e-07,-3.56058e-07
