time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,-17.0386,53.5294,6.82015,-37.9202,-18.5954,3.28943,29.5012,-35.2445,6.42563,-7.52758,-75.9114,26.8007,0.00664219,-40.7052,-40.4798,26.5232,-23.6535,2.09659,-30.8096,-0.0247794,7.91976,-2.80919,-6.62412,-0.69131,-0.579397,-0.0670807,0.179634,-0.0137755,0.0205399,-0.00338717,2.15186,-1.44432,-0.116509,1.32932,-0.0246053,0.0607022,-0.187505
0.95,4.70257,40.8511,31.307,-36.7874,19.29,13.3919,46.3981,-34.2241,8.8533,3.27702,-81.3498,25.2905,0.00983409,-28.6102,-30.5294,-7.37872,-21.5659,2.65247,-31.0464,-0.014001,6.76162,-0.815199,-6.01856,-1.19452,-1.67642,-0.137861,-0.0248443,-0.00750665,0.00393296,0.0299552,2.30539,-2.21938,-0.259967,1.26974,-0.0434544,0.00328965,-0.205171
0.99,59.6252,118.207,-55.7836,-53.4711,-22.6728,27.1887,82.6857,238.596,29.6506,6.1935,-123.443,252.895,-0.0104747,-17.0838,141.756,-63.8838,-4.2357,4.76114,108.073,0.0323148,5.6517,1.97201,-3.86961,-1.17866,-1.65481,-0.120779,0.00808843,-0.0106799,0.013858,0.0400249,2.12807,-2.04395,-0.249259,1.23635,-0.0428034,-0.00145561,-0.204484
1.16,36.9368,0.458263,-3.25475,36.1868,-63.5852,6.22417,17.9037,39.028,-22.4251,7.52023,-4.6219,47.4039,0.115678,9.00528,-1.93601,-16.1697,39.6721,0.267409,35.5593,0.0253969,12.3764,8.65387,-2.0021,-0.081934,-2.5237,-0.369228,0.289865,-0.0134791,-0.0460351,-0.0199207,0.949557,-0.619933,-0.0691276,0.819975,-0.0189246,0.0231233,-0.119853
1.38,-2.10472,-3.41457,7.54307,-12.257,3.79854,19.1178,-11.2379,-10.1802,5.99841,-10.8843,2.60357,-3.47368,0.0382139,16.2499,-43.9366,-7.49247,-8.93054,-58.183,9.30418,0.0195161,3.65685,8.32559,7.30856,1.12842,-0.88401,-0.0172889,0.655082,-0.00745754,0.0356491,-0.0587168,-0.951022,0.363732,0.110131,0.370251,-0.00669483,0.0690175,-0.00893313
1.52,17.1172,-141.019,-2.19376,-20.3726,14.3981,-22.3489,-9.31221,-108.816,56.5878,23.5503,45.7809,-71.671,0.0130691,40.5598,-31.7,9.1929,4.02983,-71.6417,16.274,0.0041899,7.37502,-1.89405,2.58185,2.77741,-1.53809,-0.115466,1.37122,-0.0421584,-0.011236,-0.215211,-1.6758,-1.17156,0.0840914,0.00626537,0.00713937,0.0552583,0.0500602
1.57,23.0171,-93.9631,4.27129,-21.9815,-18.93,-19.2726,-14.5835,-53.4701,16.5874,24.0131,27.5791,-35.2669,0.0728578,38.4716,28.5795,9.16943,12.6896,-51.4417,46.9644,0.00589695,8.8343,-4.03008,4.91483,2.50496,-1.8052,-0.0796007,1.29101,-0.04077,-0.0295786,-0.224168,-1.60546,-2.02122,-0.222135,0.125558,-0.0151241,-0.00349667,0.020474
1.63,3.09292,-5.86705,56.0023,18.6552,-44.9921,18.2909,-19.0601,48.9765,-9.3913,20.715,-22.0397,87.3975,0.061067,10.4545,101.395,-23.7762,-0.796215,-29.5864,95.3621,0.130866,13.2801,-5.88403,5.64396,2.12618,-1.51485,-0.068776,1.07052,-0.0410124,-0.0354267,-0.186046,-0.959467,-2.40439,-0.423124,0.203277,-0.0220526,-0.0467319,0.0116125
1.68,33.6477,14.7184,-22.3757,28.1232,-57.0597,15.2772,-5.0933,-89.6844,15.7808,42.8479,12.3212,-24.7987,0.0288162,25.3286,-59.1975,19.7538,12.4299,23.4211,-61.0513,0.166064,13.2326,-5.77319,6.20519,1.71941,-0.858215,-0.0384114,0.789656,-0.0264049,-0.0101108,-0.120436,-0.557509,-2.63921,-0.516895,0.264171,-0.0225297,-0.0624527,-0.00417889
1.75,7.254,-24.4229,4.5971,21.5484,-53.6388,-2.30971,-8.82143,-40.6002,5.02673,12.2427,-13.1381,17.027,0.018804,5.997,13.5232,-9.13767,6.62859,-6.87528,24.2855,0.0774159,11.346,-5.48984,-1.33104,0.592962,0.422435,0.0298401,0.521253,-0.00676565,0.0527903,-0.0649694,-0.598063,-2.12208,-0.33994,0.262981,-0.0162767,-0.0309083,-0.00619368
