time,p_x,p_y,p_z,f_x,f_y,f_z,tau_x,tau_y,tau_z
0.9,-0.00359982,-0.0219119,-0.383251,-1.02541,-17.0513,0.713196,0,-0.364716,0
0.95,-0.00202282,-0.0219119,0.338825,10.5872,-11.1739,-3.11678,0,1.89294,0
0.99,0.0487854,-0.0219119,1.44545,-6.49563,145.464,-6.30529,0,2.22547,0
1.16,0.00979849,-0.0219119,2.38746,-71.3307,578.021,49.409,0,-16.9481,0
1.38,-0.135147,-0.0219119,2.46123,4.64772,586.687,47.1581,0,-5.16554,0
1.52,-0.276082,-0.0219119,2.45883,101.99,599.83,51.3691,0,9.94203,0
1.57,-0.315214,-0.0219119,2.35448,88.1222,360.014,26.0706,0,8.70043,0
1.63,-0.112048,-0.0219119,0.752013,20.0395,50.8086,0.0220297,0,1.90022,0
1.68,0.0124662,-0.0219119,-0.100435,-6.84944,-23.5777,-2.35062,0,-0.592585,0
1.75,0.000665058,-0.0219119,0.00366739,2.27346,9.88206,1.37958,0,0.202772,0
1.81,-0.0075622,-0.0219119,0.0453369,0.775191,-0.707116,-0.564776,0,0.0765816,0
1.85,0.00373422,-0.0219119,-0.0291994,-1.5441,-5.16498,-0.44387,0,-0.131616,0
1.89,0.00388936,-0.0219119,-0.0255555,-0.416621,-0.366433,0.20775,0,-0.0347555,0
1.92,-0.000433195,-0.0219119,0.00362735,0.624465,1.9362,0.244028,0,0.0614519,0
1.96,-0.00227417,-0.0219119,0.013843,0.451368,0.359667,-0.0680581,0,0.0470251,0
1.99,-0.0189472,-0.0219119,-0.408253,-2.38711,-18.5186,1.39336,0,-0.399759,0
2.03,0.00462658,-0.0219119,0.107302,6.85869,-23.0236,-0.402428,0,-0.204255,0
2.06,0.0452888,-0.0219119,0.901204,7.41631,45.6279,-7.67141,0,2.25726,0
2.11,0.117282,-0.0219119,2.22369,-37.6938,283.242,-8.93021,0,4.0664,0
2.16,0.130678,-0.0219119,2.69658,-91.7516,523.242,11.5758,0,-0.914131,0
2.29,0.00304338,-0.0219119,2.51555,-35.1295,526.833,28.8525,0,-4.46683,0
2.41,-0.0603679,-0.0219119,2.49635,-22.8135,521.591,23.295,0,-3.66413,0
2.45,-0.0933662,-0.0219119,2.50695,-5.82059,559.801,25.2445,0,-2.05499,0
2.48,-0.122228,-0.0219119,2.51415,13.818,584.393,28.7294,0,-0.739395,0
