time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,-6.78741,2.85296,-5.50333,-3.34724,2.53906,0.245824,-13.5941,4.00757,0.858085,47.0514,21.8552,8.01092e-06,0,46.1414,9.62748,-12.1088,-17.7448,13.8894,5.13519e-05,0,4.2194,-6.61118,7.42719,22.5735,3.36886,-0.711472,10.8479,-1.05673,6.96921e-05,-0.000136507,5.63562,-4.5765,-3.37617,2.79888,0.428512,0.000132256,-9.74301e-05
1,-1.83264,11.2221,-2.38723,-0.677125,-1.2001,-0.752048,-1.43148,-15.0715,-12.1825,5.44432,-13.8667,-0.000116512,0,-19.6795,12.7799,-1.57592,89.0116,56.7265,0.000217791,0,1.8794,-11.922,-1.11706,6.1176,3.27942,0.324617,6.89604,-3.25314,-0.000113161,1.79891e-05,-5.96619,1.58942,3.56497,-1.4229,-0.546581,3.87618e-05,-0.000133761
1.07,5.64381,-3.49724,-11.0257,0.69739,-2.39921,-0.0886524,-2.67025,5.18106,11.4034,-4.86689,-6.67394,-6.51888e-05,0,-30.6032,-10.1748,-6.39665,62.0479,-37.5909,-4.66725e-05,0,-5.33628,2.63474,5.30249,2.27716,1.55505,8.16677,6.25356,-0.859721,6.46637e-05,4.85281e-06,-2.75987,7.34524,-0.985804,-2.37711,1.24066,-0.000126607,4.01892e-05
1.12,4.26148,-1.25565,-5.88759,1.06733,-2.65803,-0.442523,-3.66851,1.65953,6.31295,-4.33714,5.12255,3.55676e-05,0,-23.2606,-7.73377,-6.28998,30.9582,-31.3386,8.75131e-05,0,-3.38033,0.953035,2.51004,-4.91854,0.586879,13.3511,4.71778,1.7206,-5.57406e-05,-0.000156128,0.157199,1.64463,-3.07485,0.374922,1.44621,3.39434e-05,0.000119857
1.17,3.35131,1.70784,1.01397,0.904954,-1.46736,-1.71303,0.988892,-7.1433,1.92156,-12.6763,-0.692425,9.90776e-05,0,-15.8252,2.88514,-0.61096,-6.55474,-13.0843,-1.40308e-06,0,-3.02699,0.703175,-2.85245,-8.45761,-2.92671,9.27447,1.95058,1.55484,-9.89781e-05,9.69886e-05,1.21655,-1.02317,2.02965,-2.54072,0.922118,-5.90482e-05,-0.000147659
1.2,8.74768,6.93587,-2.43088,1.62541,0.168486,-1.82181,-2.07907,-16.6033,4.31963,-19.2022,-10.8794,0.000286947,0,-27.0519,9.69694,0.72994,-22.2964,-16.2805,2.12811e-05,0,-8.85705,-5.20264,-0.0893969,-15.9567,-10.5348,17.8738,13.0821,1.18826,-0.000105015,0.000108486,-1.04683,-0.582837,4.21579,0.123614,2.89918,1.05664e-05,5.09523e-05
1.24,3.32042,5.35527,-0.450013,1.95514,0.672086,-1.87744,7.41852,-14.6476,6.78247,-23.1693,-13.9212,5.08438e-05,0,-13.1527,10.3905,7.41652,-65.9651,-6.94172,-0.000216091,0,-1.08654,-3.80566,-3.7457,-15.8018,-3.50905,-4.28666,-1.55263,-3.31508,-5.99662e-05,-9.265e-06,2.21121,-1.9572,4.26874,-1.17624,1.12885,-1.6953e-05,-0.00019843
1.29,-0.639286,9.80986,1.79865,0.632657,1.77741,-1.47918,26.959,-13.6966,9.91928,-41.7889,-30.1157,-0.000282489,0,6.73505,14.3053,6.64029,-82.7057,0.28852,-0.00020638,0,-0.438385,-9.4009,-6.63619,-17.1236,0.689931,-20.2847,-0.578665,-5.32827,8.27274e-05,7.47564e-05,6.87118,-4.72758,-1.16863,-0.233452,-0.761149,0.000112382,-0.00016078
1.32,-6.27324,12.1851,0.633871,-0.392485,2.27512,-0.715185,47.0595,-14.468,2.75708,-56.0216,-57.6398,-0.000324635,0,13.4161,15.8866,10.8985,-59.2366,8.8985,9.9186e-05,0,3.82997,-13.2143,-1.4569,-21.9164,-2.08248,-23.0649,1.66239,-6.99933,7.93033e-05,0.000131711,15.0588,-3.27614,-3.14396,-2.15315,-0.782804,5.58842e-05,3.24314e-05
1.4,-5.24629,-4.39102,2.53678,-1.94437,2.3181,0.842195,36.4308,13.1099,-6.52266,-8.30241,0.0436406,6.2116e-05,0,-15.6915,-3.50993,-1.64946,41.1113,18.3699,1.39162e-05,0,2.87456,5.04108,-1.8537,-7.48271,-2.71728,-1.97221,-24.9331,-0.921833,-1.62841e-05,1.69187e-05,3.488,-0.00437847,0.360956,-0.941136,-1.0639,-1.68229e-05,3.03265e-06
1.49,-2.29005,-9.70793,-5.45683,-0.974379,-0.900888,1.23286,-8.46718,13.1361,-6.12246,76.5274,84.4029,-2.70209e-05,0,-4.62874,-14.3101,-20.7058,15.9167,-8.06568,0.000118125,0,2.5571,8.79068,0.628592,5.19929,-0.963848,1.24608,-26.0309,3.24112,1.62004e-06,3.00906e-05,-6.98114,3.15057,0.453783,2.51005,-0.569377,-1.7511e-05,-5.44199e-05
1.56,1.77099,1.93771,14.0082,0.844447,-2.65025,-0.274671,-29.1291,-10.4156,-24.7885,68.2378,-25.0638,4.49406e-05,0,2.59184,3.61414,7.57665,-6.84306,-8.59441,8.68898e-05,0,-0.835657,0.710102,-8.4568,-5.77834,-2.3442,-13.3778,-9.03994,-3.55577,1.93363e-05,2.72355e-05,2.01441,-0.197256,-2.81648,-1.06622,-0.157612,-2.60819e-05,1.14189e-05
1.62,4.22034,4.70084,6.88557,1.21643,-2.33587,0.523182,-30.7592,-7.20722,-9.57533,47.712,-30.4976,4.84686e-05,0,-5.43163,4.95475,14.7673,-2.83271,0.665001,-4.35598e-05,0,-2.91439,-3.48281,-2.65159,1.4175,5.29858,-11.7908,-11.2353,-1.58239,4.74325e-05,-0.000148988,-0.914928,-3.97977,-0.459704,1.86764,0.204048,-0.00017302,6.65958e-05
1.67,4.74245,-0.82551,-5.13476,1.14638,-1.20415,1.78944,-24.6052,8.34513,9.52309,14.9046,-31.7191,4.52436e-05,0,-1.6383,-5.47296,3.88685,-10.3376,-6.59047,-6.54413e-05,0,-2.89212,-0.673049,9.44943,2.30235,2.37455,2.68746,2.52651,6.13107,-3.48606e-05,-5.86918e-06,-1.31473,-0.472193,2.85732,0.583004,0.857434,-3.52528e-05,-0.000114384
1.7,1.19214,-1.88968,-5.13638,1.02558,-0.927172,1.98505,-11.8814,10.0584,12.7717,-26.7714,-24.4986,7.98395e-05,0,8.43,-8.19438,0.421738,-19.7083,-10.2417,-5.19649e-05,0,0.815593,-0.118557,11.5449,-1.54643,-2.00499,12.645,17.8748,7.21354,-0.000209165,0.000109301,0.0764541,1.32245,0.993398,-0.594312,0.457738,1.4756e-05,-9.584e-05
1.74,0.802661,-5.89046,5.69929,1.80193,-0.00490488,0.885373,-5.77238,6.4285,15.876,-81.6075,-8.68057,-0.000136681,0,13.9743,-13.4435,6.86269,-27.6502,-13.0615,7.34905e-05,0,1.59958,7.50156,1.64469,-0.19183,-2.01213,13.0531,18.6843,4.58297,9.1768e-05,0.000243874,-1.82871,2.24312,-0.789549,0.154649,-0.12666,-7.1827e-05,4.36732e-05
1.79,3.28673,-10.9423,5.23373,1.25976,2.35562,0.093355,2.74351,5.25824,5.68937,-89.9605,13.3372,-9.76607e-05,0,20.8216,-11.8187,13.0352,-37.0371,-23.1431,-0.000178828,0,-2.3784,14.3901,0.0277281,12.5447,0.910377,5.60759,8.22076,-0.536274,6.90937e-05,-0.000166396,-5.90537,3.54735,1.03698,0.145559,0.417479,5.66235e-05,4.98087e-05
1.82,-0.273225,-15.8089,1.52052,0.0281399,3.35871,0.165188,5.00216,11.898,0.770898,-55.3096,15.9109,-2.46641e-05,0,38.5594,-12.8395,3.29308,-51.0097,-51.4404,-8.30798e-05,0,0.542358,17.9088,2.1959,20.4659,1.67305,3.93833,6.57086,2.07222,6.60444e-05,-0.000118527,-4.26471,3.46307,2.76992,-1.07503,2.90906,6.71949e-05,4.88939e-06
1.93,-12.3578,6.7348,5.42171,-3.01636,-0.321357,-0.212653,-7.59006,-3.69787,-10.6611,45.3456,22.6744,-9.49825e-05,0,34.7445,13.1117,-2.8219,19.8432,90.4027,-3.14709e-05,0,12.0283,-9.07473,-8.28427,10.2376,3.94604,-3.79418,24.5068,-1.97908,-0.000268156,0.000102061,2.19417,-11.0591,-20.6496,5.07634,0.793217,-0.000127948,3.18144e-05
2,-4.47128,8.86188,-2.08996,-0.760859,-1.60396,-0.433848,1.7854,-11.1617,-6.97042,5.29081,-4.448,2.79138e-05,0,-15.338,6.22794,-5.61195,86.0288,63.8929,0.000224417,0,4.03202,-10.1505,-2.90111,3.37487,5.42377,-3.46334,9.99631,-5.69415,1.77706e-05,-1.17963e-05,-15.7369,-3.90383,-14.7986,1.99966,-1.90044,8.33597e-05,-9.9833e-06
