time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.9,0.390621,-1.45758,0.568143,0.0780358,0.12753,0.0953426,-0.753441,1.51978,0.588392,-2.53869,0.306588,-6.83364e-06,0,2.39833,-1.6461,0.784646,-6.14661,-4.83248,-8.09937e-06,0,-0.392489,1.67988,0.052068,0.699415,-0.205998,0.186681,0.257662,0.61308,-2.43154e-06,2.653e-06,-0.200103,0.287558,-0.059758,-0.123409,-0.00862605,-1.51672e-06,2.03115e-06
1,-0.590907,-0.199425,0.571848,-0.156353,0.15532,0.0656626,-1.7051,0.466195,-0.722279,1.43377,1.57199,5.65915e-06,0,4.66472,0.0984489,0.0259786,-3.05797,2.67309,-6.68342e-06,0,0.547771,0.134832,0.0463486,1.92952,0.276146,-0.0737799,1.06551,0.346473,-4.36603e-06,-2.51089e-06,0.0216767,-0.455179,-0.272542,0.344664,-0.0727437,-1.70034e-06,4.30783e-06
1.07,-0.346056,-0.0166268,0.185057,-0.154493,0.0733065,0.0416118,-1.72462,0.169758,-0.594945,1.09008,0.358556,6.25058e-07,0,2.77764,0.21595,-0.0515888,2.23042,3.19254,2.44788e-06,0,0.280028,-0.0778604,0.185451,2.21502,0.386708,0.108277,1.46101,0.191929,-1.4409e-06,6.0364e-06,-0.427337,-0.0118019,-0.0296582,0.0955454,-0.0625224,2.52568e-06,-4.93744e-06
1.12,-0.138221,-0.189889,-0.320923,-0.11289,-0.0470123,0.0493198,-1.91375,0.486719,-0.0556564,1.03955,0.407732,-1.74302e-06,0,1.55015,-0.344656,-0.451724,4.55776,1.24279,1.09093e-06,0,0.112038,0.022498,0.442674,2.21462,0.49945,0.563594,1.73129,0.181699,8.22302e-06,1.72452e-06,-0.447785,0.23757,-0.187631,0.0856648,0.00955812,-1.18226e-06,-2.49103e-06
1.17,0.0495259,-0.167713,-0.477539,-0.0465215,-0.153496,0.0188416,-2.11546,0.405432,0.0494467,0.818269,0.707991,-1.7246e-06,0,0.449128,-0.574737,-0.665951,5.82621,0.402342,5.23174e-06,0,0.00951337,0.0189031,0.459243,1.81527,0.488539,1.34108,1.9949,0.32702,7.03155e-07,-4.73418e-06,-0.469915,0.238709,-0.319693,0.155214,0.0743919,-1.36949e-07,2.44264e-06
1.2,0.152341,-0.147041,-0.402406,-0.0187284,-0.186764,-0.026703,-2.08806,0.244261,0.137046,0.426238,0.682175,-1.45696e-06,0,0.0147005,-0.495776,-0.635882,5.66785,0.0420647,7.92518e-06,0,-0.0734524,0.0704195,0.367849,1.57315,0.407374,1.57546,1.98868,0.377166,-3.78074e-06,-1.06407e-06,-0.467332,0.211565,-0.230062,0.0758187,0.0926784,-1.69206e-06,5.04167e-07
1.24,0.409978,0.056324,-0.441336,0.0320844,-0.173366,-0.0944334,-2.08024,-0.293936,0.303913,-0.271142,0.241355,5.93319e-06,0,-0.775102,-0.122722,-0.597378,4.53891,-0.575282,7.79818e-06,0,-0.337075,-0.0655133,0.348362,1.05591,0.0464093,1.99377,2.31166,0.368841,-2.23754e-06,9.44651e-07,-0.481841,0.191049,-0.027008,0.0411666,0.181797,-5.0784e-07,1.92499e-06
1.29,0.517628,0.321776,-0.461556,0.125169,-0.135836,-0.162536,-1.70155,-0.926812,0.603849,-1.27934,-0.357389,6.51674e-06,0,-1.23901,0.354548,-0.214953,1.1493,-0.639244,-2.43025e-06,0,-0.325979,-0.31214,0.175279,0.322652,-0.00798697,1.63582,2.17344,0.180392,-1.3886e-06,-4.54115e-06,-0.379291,0.0850334,0.115567,0.045867,0.223314,1.66632e-06,1.61154e-06
1.32,0.504323,0.528864,-0.334048,0.151237,-0.0913608,-0.193226,-1.05738,-1.156,0.941118,-2.30672,-0.894615,1.12841e-06,0,-0.996688,0.66555,-0.0113435,-1.2096,-0.543088,-6.53292e-06,0,-0.310282,-0.521585,-0.0823365,-0.094995,0.138478,0.988489,1.98448,0.0486317,-2.73623e-06,-3.37252e-06,-0.252622,-0.0518819,0.0695012,0.0565123,0.179072,2.57129e-06,2.89217e-07
1.4,0.044726,1.2149,-0.145125,0.0352873,0.109085,-0.202837,2.78523,-1.61894,0.932281,-6.358,-4.79704,-4.5989e-06,0,-0.426798,1.61924,0.689952,-2.52346,0.387884,-1.37043e-06,0,-0.179832,-1.26704,-0.144234,-1.4708,-0.202628,-0.299072,1.79072,-0.387292,2.40733e-06,2.46173e-06,0.755527,-0.194008,-0.104733,-0.216013,0.126068,-3.6896e-06,1.36432e-07
1.49,-0.336837,0.248017,-0.528402,-0.094846,0.21067,-0.0740597,4.19995,0.0548823,0.741276,-3.40386,1.00791,-1.83394e-06,0,-2.138,0.362207,-0.473093,1.49471,1.49439,-5.89869e-06,0,0.19196,-0.354226,-0.0518252,-1.14605,-0.0631366,0.0503075,-1.28834,-0.171708,3.58171e-07,-4.25161e-06,0.205206,-0.0891292,0.0733424,-0.0754911,0.035355,1.52471e-06,1.1348e-06
