time,ground_pelvis_on_pelvis_in_ground_fx,ground_pelvis_on_pelvis_in_ground_fy,ground_pelvis_on_pelvis_in_ground_fz,ground_pelvis_on_pelvis_in_ground_mx,ground_pelvis_on_pelvis_in_ground_my,ground_pelvis_on_pelvis_in_ground_mz,hip_r_on_femur_r_in_ground_fx,hip_r_on_femur_r_in_ground_fy,hip_r_on_femur_r_in_ground_fz,hip_r_on_femur_r_in_ground_mx,hip_r_on_femur_r_in_ground_my,hip_r_on_femur_r_in_ground_mz,knee_r_on_tibia_r_in_ground_fx,knee_r_on_tibia_r_in_ground_fy,knee_r_on_tibia_r_in_ground_fz,knee_r_on_tibia_r_in_ground_mx,knee_r_on_tibia_r_in_ground_my,knee_r_on_tibia_r_in_ground_mz,ankle_r_on_talus_r_in_ground_fx,ankle_r_on_talus_r_in_ground_fy,ankle_r_on_talus_r_in_ground_fz,ankle_r_on_talus_r_in_ground_mx,ankle_r_on_talus_r_in_ground_my,ankle_r_on_talus_r_in_ground_mz,subtalar_r_on_calcn_r_in_ground_fx,subtalar_r_on_calcn_r_in_ground_fy,subtalar_r_on_calcn_r_in_ground_fz,subtalar_r_on_calcn_r_in_ground_mx,subtalar_r_on_calcn_r_in_ground_my,subtalar_r_on_calcn_r_in_ground_mz,mtp_r_on_toes_r_in_ground_fx,mtp_r_on_toes_r_in_ground_fy,mtp_r_on_toes_r_in_ground_fz,mtp_r_on_toes_r_in_ground_mx,mtp_r_on_toes_r_in_ground_my,mtp_r_on_toes_r_in_ground_mz,hip_l_on_femur_l_in_ground_fx,hip_l_on_femur_l_in_ground_fy,hip_l_on_femur_l_in_ground_fz,hip_l_on_femur_l_in_ground_mx,hip_l_on_femur_l_in_ground_my,hip_l_on_femur_l_in_ground_mz,knee_l_on_tibia_l_in_ground_fx,knee_l_on_tibia_l_in_ground_fy,knee_l_on_tibia_l_in_ground_fz,knee_l_on_tibia_l_in_ground_mx,knee_l_on_tibia_l_in_ground_my,knee_l_on_tibia_l_in_ground_mz,ankle_l_on_talus_l_in_ground_fx,ankle_l_on_talus_l_in_ground_fy,ankle_l_on_talus_l_in_ground_fz,ankle_l_on_talus_l_in_ground_mx,ankle_l_on_talus_l_in_ground_my,ankle_l_on_talus_l_in_ground_mz,subtalar_l_on_calcn_l_in_ground_fx,subtalar_l_on_calcn_l_in_ground_fy,subtalar_l_on_calcn_l_in_ground_fz,subtalar_l_on_calcn_l_in_ground_mx,subtalar_l_on_calcn_l_in_ground_my,subtalar_l_on_calcn_l_in_ground_mz,mtp_l_on_toes_l_in_ground_fx,mtp_l_on_toes_l_in_ground_fy,mtp_l_on_toes_l_in_ground_fz,mtp_l_on_toes_l_in_ground_mx,mtp_l_on_toes_l_in_ground_my,mtp_l_on_toes_l_in_ground_mz,back_on_torso_in_ground_fx,back_on_torso_in_ground_fy,back_on_torso_in_ground_fz,back_on_torso_in_ground_mx,back_on_torso_in_ground_my,back_on_torso_in_ground_mz,acromial_r_on_humerus_r_in_ground_fx,acromial_r_on_humerus_r_in_ground_fy,acromial_r_on_humerus_r_in_ground_fz,acromial_r_on_humerus_r_in_ground_mx,acromial_r_on_humerus_r_in_ground_my,acromial_r_on_humerus_r_in_ground_mz,elbow_r_on_ulna_r_in_ground_fx,elbow_r_on_ulna_r_in_ground_fy,elbow_r_on_ulna_r_in_ground_fz,elbow_r_on_ulna_r_in_ground_mx,elbow_r_on_ulna_r_in_ground_my,elbow_r_on_ulna_r_in_ground_mz,radioulnar_r_on_radius_r_in_ground_fx,radioulnar_r_on_radius_r_in_ground_fy,radioulnar_r_on_radius_r_in_ground_fz,radioulnar_r_on_radius_r_in_ground_mx,radioulnar_r_on_radius_r_in_ground_my,radioulnar_r_on_radius_r_in_ground_mz,radius_hand_r_on_hand_r_in_ground_fx,radius_hand_r_on_hand_r_in_ground_fy,radius_hand_r_on_hand_r_in_ground_fz,radius_hand_r_on_hand_r_in_ground_mx,radius_hand_r_on_hand_r_in_ground_my,radius_hand_r_on_hand_r_in_ground_mz,acromial_l_on_humerus_l_in_ground_fx,acromial_l_on_humerus_l_in_ground_fy,acromial_l_on_humerus_l_in_ground_fz,acromial_l_on_humerus_l_in_ground_mx,acromial_l_on_humerus_l_in_ground_my,acromial_l_on_humerus_l_in_ground_mz,elbow_l_on_ulna_l_in_ground_fx,elbow_l_on_ulna_l_in_ground_fy,elbow_l_on_ulna_l_in_ground_fz,elbow_l_on_ulna_l_in_ground_mx,elbow_l_on_ulna_l_in_ground_my,elbow_l_on_ulna_l_in_ground_mz,radioulnar_l_on_radius_l_in_ground_fx,radioulnar_l_on_radius_l_in_ground_fy,radioulnar_l_on_radius_l_in_ground_fz,radioulnar_l_on_radius_l_in_ground_mx,radioulnar_l_on_radius_l_in_ground_my,radioulnar_l_on_radius_l_in_ground_mz,radius_hand_l_on_hand_l_in_ground_fx,radius_hand_l_on_hand_l_in_ground_fy,radius_hand_l_on_hand_l_in_ground_fz,radius_hand_l_on_hand_l_in_ground_mx,radius_hand_l_on_hand_l_in_ground_my,radius_hand_l_on_hand_l_in_ground_mz
0.9,-7.10543e-15,-1.56319e-13,3.37508e-14,-7.10543e-15,-1.77636e-15,1.64313e-14,-272.683,-1216.84,270.144,-1.47555e-13,-2.27756e-15,1.11193e-14,66.0858,-317.905,4.8587,-37.7656,14.5283,-2.64565,-224.126,-830.537,-66.2393,-17.4844,8.07486,-5.08309,-225.734,-830.459,-66.2602,-18.1279,12.3199,-55.2975,76.4154,-150.682,36.7357,2.09762,1.10011,-0.884256,134.8,-1401.89,-511.627,-1.94405e-13,-4.04495e-15,-1.49418e-14,-6.70163,-1327.44,7.59946,15.2539,7.06377,2.79005,-116.394,-1395.09,-28.8444,-11.7367,12.7503,-2.13247,-115.86,-1397.09,-28.3471,0.770861,13.0107,-63.4419,40.3945,2.9322,-5.69343,-0.177697,0.0673833,0.849676,59.0033,607.768,67.404,-3.30751e-13,5.07583e-14,-1.60626e-14,4.38495,25.9765,-4.81155,-3.54722e-15,1.37182e-16,-1.26865e-15,-2.71255,9.80327,-1.50149,0.0181477,0.0296513,-0.0149371,-3.36608,5.97019,-0.324069,0.0348544,0.0679088,-0.263405,-3.24378,1.98934,0.817174,-0.03845,0.000737178,-0.13426,-2.43761,13.2731,1.65101,-9.0921e-16,-2.13886e-16,3.67033e-16,-0.827477,4.95181,0.752747,0.0277034,0.00229049,0.0251995,-0.175968,2.96765,0.787568,0.0519066,0.0364928,-0.0949575,0.399785,1.1297,0.776847,0.0265404,0.0176605,-0.0370882
0.94,0,-1.13687e-13,-7.10543e-15,-1.77636e-15,-2.66454e-15,-3.55271e-15,-136.941,-406.566,100.128,2.10247e-14,-2.16048e-16,1.00661e-15,27.4339,-41.0391,12.9875,-11.9194,8.89159,-1.21305,8.73576,-335.088,-27.5529,-2.23507,7.75451,0.219359,7.57051,-335.844,-27.8481,-2.37707,9.38677,-19.3111,47.5659,-47.9468,17.8028,0.567642,0.55215,-0.382979,-32.1958,-1431.08,-441.811,1.26831e-14,1.95823e-17,7.25272e-16,-112.285,-1257.92,18.2444,28.4135,6.25704,2.41057,-125.592,-1322.43,12.4711,2.04407,9.66864,-2.17305,-125.323,-1323.31,12.6278,12.019,8.17232,-62.6175,5.54301,10.4544,-0.294073,-0.187932,0.0625626,0.656232,22.6164,447.043,-5.85804,4.08075e-14,-9.64358e-15,-6.76217e-16,3.64391,16.5745,-3.99988,-3.49181e-16,-1.2053e-16,1.21918e-16,-1.43712,8.07582,-1.19448,-0.0143001,0.00774454,0.00463899,-1.9968,5.40382,-0.428291,0.0498677,0.032648,-0.147391,-2.22328,2.43247,0.353236,-0.0157024,0.00122867,-0.086742,-3.42983,16.2268,0.524456,1.13901e-17,-4.29825e-17,-4.04803e-17,-0.729168,6.39435,1.11707,-0.0163509,0.0144925,-0.0102915,-0.032594,3.8581,1.0319,0.0137845,0.0589805,-0.147821,0.544266,1.54035,0.808085,0.0154881,0.0242428,-0.049551
0.98,-7.10543e-15,0,3.55271e-14,0,5.32907e-15,1.42109e-14,89.2522,-138.596,157.396,-3.89492e-15,-2.3602e-15,-3.53164e-15,51.329,-162.147,26.5996,7.39521,-3.68918,2.66817,-13.3753,-212.515,18.5222,14.022,-6.44048,3.05095,-13.307,-214.113,17.0587,14.7998,-7.45255,-7.94312,65.7796,-28.7221,26.7883,-0.300571,-0.396666,0.342418,-203.241,-1265.23,-305.456,-9.73127e-16,-5.47217e-16,2.79808e-16,-176.922,-1202.32,15.8858,17.2599,2.54732,0.886373,-233.319,-1264.71,3.65348,-5.52525,8.21716,-0.65126,-233.037,-1265.13,3.72043,0.334261,6.96411,-58.1178,19.1809,2.59872,-4.16487,-0.0464666,0.215603,0.587686,34.9061,466.084,-22.78,4.73275e-14,5.22828e-16,2.53013e-15,4.60937,16.3439,-4.05637,-3.66101e-16,-3.19635e-17,3.18405e-17,-0.509737,8.71493,-1.62163,-0.00196268,0.00991567,-0.0011662,-1.25903,5.99,-0.857898,0.0898362,0.0231947,-0.134251,-1.76084,2.94358,-0.0222757,-0.00238224,5.48909e-05,-0.0796351,-3.63554,17.4675,0.416366,-3.79353e-17,4.54289e-17,4.94568e-16,-0.815959,6.86648,1.17668,-0.0364236,0.0203618,-0.0260342,-0.0249576,4.13744,1.08923,-0.000703961,0.0697377,-0.173136,0.622433,1.66712,0.819709,0.0119714,0.0281792,-0.0570175
1.03,5.68434e-14,-8.52651e-14,4.26326e-14,3.90799e-14,7.99361e-15,0,410.003,-746.046,250.657,-3.26971e-15,-7.67885e-15,-2.03273e-14,205.07,-504.56,25.5038,0.236635,-1.83534,3.09509,49.3232,-212.917,6.51914,0.0338821,-2.428,-0.597862,50.9453,-213.928,6.46253,0.604553,-2.65776,-11.1897,40.0618,-7.11362,14.8937,-0.0779608,-0.128166,-0.28563,-362.329,-1177.49,-170.48,-2.83989e-14,6.865e-15,-2.86028e-14,-314.876,-1332.3,26.9641,9.59346,-1.26497,0.152755,-352.172,-1383.5,2.24721,-10.0249,5.87129,1.32086,-352.521,-1384.42,2.23131,-6.75442,4.87978,-63.9436,61.2369,-15.6299,-18.7136,0.177593,0.551009,0.92918,-63.5239,432.451,-30.381,-4.21761e-14,-1.59475e-14,-3.26705e-13,1.20987,7.05122,-1.71593,6.67329e-16,-2.10408e-16,1.53334e-16,0.554063,4.76485,-1.04006,-0.00435887,0.00596919,0.00041011,-0.0174576,3.52668,-0.721066,0.0696471,0.000452975,-0.051041,-0.599053,2.04511,-0.304853,0.00786199,-0.00245982,-0.0383574,-4.03729,11.5927,0.446518,-5.94921e-17,-3.31991e-17,-1.62395e-16,-0.544759,4.91594,1.13659,0.0497827,-0.00602402,0.0413484,-0.147417,3.0201,0.930967,0.0470855,0.0231898,-0.059634,0.214541,1.18957,0.737865,0.0208375,0.0106903,-0.0222338
1.08,0,0,-4.88498e-14,4.26326e-14,7.10543e-15,-2.84217e-14,1590.41,-2284.62,1672.35,1.60218e-13,6.03522e-14,1.24677e-13,794.364,-1818.29,76.5268,113.015,22.9317,28.722,1744.35,-2925.49,286.625,88.1571,0.244601,19.0176,1746.38,-2925.97,285.502,106.608,-6.28424,-155.469,472.791,76.4463,187.006,-0.630941,-3.30569,1.31356,-589.335,-1632.92,14.3805,-2.9321e-14,4.83848e-17,2.43357e-14,-649.624,-1829.57,25.9194,28.17,-11.4943,-0.317832,-759.393,-2088.49,8.48022,0.756874,0.134034,-0.230787,-760.255,-2088.75,9.29853,3.02935,-1.26225,-104.934,49.9645,-16.4566,-19.8786,0.280992,0.677337,0.964256,-297.498,286.739,-316.129,3.2107e-14,1.45391e-14,4.1789e-13,-14.5821,-32.2659,0.10111,-2.85905e-15,-7.15486e-16,1.09784e-15,-1.92094,-12.843,5.34648,-0.653329,0.131108,0.167057,-0.0109604,-7.86519,4.03093,-0.756837,0.102273,0.288569,0.895265,-3.01017,2.25684,-0.154554,0.0376372,0.0926329,-11.2886,30.4929,-2.99958,-2.09689e-15,-5.78756e-16,1.62017e-15,-0.726507,13.8141,3.50069,-0.120301,0.0389124,-0.0857468,0.229657,8.52112,2.56867,-0.113013,0.131794,-0.318172,0.930471,3.63217,1.2654,-0.0214786,0.0454579,-0.0890502
1.18,1.7053e-13,2.84217e-13,0,-5.68434e-14,7.10543e-15,-4.26326e-14,224.406,-5224,818.299,-5.57543e-13,-1.7343e-13,3.22349e-14,892.421,-1881.73,-59.5495,-155.124,-19.23,-16.4191,2225.02,-3102.55,-62.9247,-94.0287,20.4362,-10.2398,2222.18,-3102.7,-67.3267,-100.347,20.0878,-227.288,952.24,-124.955,236.971,0.0975345,9.59526,-8.62836,-889.391,-1059.65,-1326.5,9.14324e-13,-2.16627e-13,-3.17183e-14,-391.264,-881.982,51.2792,-131.322,40.8102,9.97569,-3016.03,-4605.58,-250.728,-70.7856,3.67975,17.4342,-3021.65,-4610.48,-252.66,-42.7827,1.9605,-286.858,340.19,-665.573,-157.351,4.37622,1.17499,3.82102,66.8825,826.607,485.118,1.24435e-12,-2.72916e-13,3.94625e-13,23.8487,72.9805,-4.53963,-1.74618e-15,2.2851e-15,1.38322e-15,8.86762,30.4528,-12.6519,1.12671,-0.352036,-0.209673,3.88953,19.3287,-9.35903,1.46067,-0.388872,-0.348094,-0.106073,8.24217,-5.37856,0.308366,-0.120044,-0.150514,1.13364,-11.6333,7.24589,-2.58337e-15,-1.92227e-15,-1.76512e-17,-0.886499,-5.46596,-0.751311,0.626642,-0.139227,0.386387,-1.36818,-3.31011,-0.322075,0.528262,-0.201998,0.432585,-1.26247,-1.87172,1.0464,0.151545,-0.0599075,0.100254
1.29,0,5.68434e-14,2.84217e-14,-7.10543e-15,7.10543e-15,7.10543e-15,327.236,-3146.75,1030.93,-1.42149e-14,1.53633e-14,3.29762e-14,571.333,-1871.8,-126.985,-56.0365,-1.9044,4.91837,323.971,-1122.11,6.83858,-8.46376,-3.40288,-1.28518,324.68,-1124.04,6.22639,-17.15,-6.39608,-64.2405,10.4585,3.90374,-1.05454,0.112788,0.192269,0.233709,-602.394,-2356.91,-460.519,-1.42251e-13,2.94806e-14,-1.32214e-15,-98.9331,-920.778,28.6589,59.4431,-19.7182,2.40651,-1215.1,-1484.16,151.822,38.8907,-11.3452,-8.68704,-1218.98,-1479.9,150.988,46.0916,-28.6513,-118.876,-68.5143,-546.193,-50.1036,-5.66485,-0.497076,-4.96102,128.375,1154.1,-80.7136,1.31381e-14,4.39135e-14,4.93668e-15,8.35555,52.1375,-13.1755,1.16647e-16,-1.0172e-16,-5.67192e-17,1.46149,25.4865,-7.28587,-0.0305578,0.00463829,0.00702047,0.305999,16.6572,-4.8054,0.349,-0.0111105,-0.0547345,-0.741223,7.63193,-2.2007,0.0637894,-0.0156339,-0.0667401,-2.18471,49.7617,4.87549,-8.44638e-16,-1.57851e-16,-2.1657e-16,1.76586,17.9696,3.98236,-0.163579,0.100595,-0.0488867,2.55881,10.1786,2.78378,-0.160543,0.247305,-0.451657,3.005,3.2799,1.19718,-0.0148324,0.0938404,-0.165681
1.35,-2.66454e-15,9.9476e-14,-5.75096e-14,7.10543e-15,5.32907e-15,-4.44089e-16,6.96994,-2306.53,602.511,4.37439e-14,-1.81281e-16,-7.07439e-15,131.565,-1349.41,-36.6089,-36.8008,0.472948,2.72306,13.0424,-909.045,27.3407,0.918998,-3.81032,-0.757472,13.6151,-909.318,26.8891,-3.69549,-5.11497,-42.5522,14.6265,2.80229,3.64129,0.0578665,-0.167063,0.382103,176.983,-440.688,-508.064,2.92805e-13,-1.1191e-14,-1.50584e-14,-30.7847,-339.432,-24.8983,-30.1431,1.84099,1.76368,-784.344,-1004.72,-84.7975,-25.2387,2.46468,5.48666,-785.566,-1004.14,-83.1393,-16.3415,1.45025,-64.899,94.9157,-248.748,-51.2802,1.67493,0.291368,1.18621,35.0396,752.51,40.0076,-1.8075e-13,-1.50229e-15,1.96223e-14,2.28945,39.6309,-7.26557,-2.28725e-15,-4.85996e-17,6.70074e-16,-2.90677,19.7146,-5.37739,0.14357,0.0256488,-0.0485972,-3.13426,12.9959,-3.6203,0.397382,0.075883,-0.205038,-2.91402,6.05121,-1.59321,0.0677598,-0.000703015,-0.114132,1.66688,20.6805,4.68819,-6.43268e-16,-3.05291e-17,6.32244e-18,1.96522,6.71736,1.83108,0.0816499,-0.0349875,0.0191341,1.47924,3.53007,1.18924,0.0495,0.0266986,-0.131703,1.13957,0.481724,0.616879,0.0303163,0.0153483,-0.0625945
1.4,-1.24345e-14,2.84217e-14,0,0,0,8.88178e-15,-69.452,-883.198,243.059,1.73701e-14,1.36065e-15,-2.25752e-15,-31.3052,-873.059,-6.9333,-0.273608,2.01385,1.23563,-71.4171,-1453.34,16.0182,17.0358,-3.92189,1.57171,-71.2689,-1454.53,16.2648,11.3571,-4.35082,-63.3003,126.672,-21.4826,30.7226,-0.258385,-0.723049,0.92033,23.4701,-226.669,-108.375,1.7031e-14,-1.65032e-15,-4.89607e-15,1.47224,-107.589,-15.0361,2.711,2.40766,0.984695,-31.8306,-107.203,-12.5756,0.448972,4.68233,-0.474858,-32.648,-108.236,-12.0576,1.18976,5.1602,-6.5369,21.6178,-21.8145,-6.54679,-0.056302,-0.0570296,-0.125641,35.6082,374.554,-70.8833,3.63733e-14,-1.048e-15,1.44608e-14,0.355066,17.1057,-4.68266,-6.1838e-16,8.30676e-18,6.31913e-16,-3.64838,10.2228,-1.59613,-0.0640654,-0.0165792,0.0243989,-3.34844,7.13962,-0.917547,0.0825417,0.0425911,-0.081272,-2.91621,3.62469,-0.13332,0.00249695,0.000997815,-0.0721514,4.51959,19.7008,2.6667,2.10978e-16,1.073e-16,2.46153e-17,3.23354,6.15915,1.69527,-0.0325779,0.0458003,0.000496321,2.298,3.12035,0.963283,-0.0474177,0.118568,-0.151025,1.41279,0.460622,0.13997,-0.00170351,0.0418697,-0.0637032
1.46,7.10543e-15,-1.13687e-13,5.32907e-15,3.55271e-15,2.88658e-15,2.13163e-14,-299.745,-1343.8,390.793,5.15457e-16,-4.79938e-16,-7.18321e-15,-209.103,-1216.5,-35.4068,-18.5524,3.02013,1.05794,-246.853,-1463.3,-7.77162,3.41732,-2.77617,0.178192,-247.231,-1464.54,-7.32552,1.1056,-2.0143,-61.8252,30.787,-0.538829,9.19656,-0.0373239,-0.365693,0.477161,34.9213,-627.291,-181.8,-3.34606e-14,-6.69268e-15,3.09087e-14,91.0978,-273.391,-33.0091,14.2859,-7.22235,1.89294,74.6421,-216.246,-6.22982,8.8934,-7.89268,-0.143881,75.4549,-217.768,-6.07938,10.4414,-7.00031,-13.2353,54.8497,-19.4787,-12.4453,-0.23605,-0.583835,-0.339494,-21.6306,332.241,-69.2298,6.53171e-15,3.57831e-16,-2.44058e-15,-0.480095,8.54872,-2.39958,-8.49746e-16,-9.17058e-17,1.04319e-15,-3.55677,5.37019,-0.210508,-0.0203242,-0.00583034,0.00896436,-3.50413,3.8264,0.0872358,0.0444536,0.0657941,-0.0846584,-3.15744,1.85005,0.489575,-0.00731939,0.00782715,-0.0659848,2.93724,9.3611,1.13475,1.81846e-16,2.77297e-17,-3.44504e-17,2.09036,2.57396,0.630095,-0.00671015,0.0167941,0.00180724,1.28832,1.2416,0.331533,-0.0179346,0.0512875,-0.0604019,0.567083,0.0469466,-0.0223703,-0.000243266,0.017543,-0.0276755
