time,glut_med1_r,glut_med2_r,glut_med3_r,glut_min1_r,glut_min2_r,glut_min3_r,semimem_r,semiten_r,bifemlh_r,bifemsh_r,sar_r,add_long_r,add_brev_r,add_mag1_r,add_mag2_r,add_mag3_r,tfl_r,pect_r,grac_r,glut_max1_r,glut_max2_r,glut_max3_r,iliacus_r,psoas_r,quad_fem_r,gem_r,peri_r,rect_fem_r,vas_med_r,vas_int_r,vas_lat_r,med_gas_r,lat_gas_r,soleus_r,tib_post_r,flex_dig_r,flex_hal_r,tib_ant_r,per_brev_r,per_long_r,per_tert_r,ext_dig_r,ext_hal_r,glut_med1_l,glut_med2_l,glut_med3_l,glut_min1_l,glut_min2_l,glut_min3_l,semimem_l,semiten_l,bifemlh_l,bifemsh_l,sar_l,add_long_l,add_brev_l,add_mag1_l,add_mag2_l,add_mag3_l,tfl_l,pect_l,grac_l,glut_max1_l,glut_max2_l,glut_max3_l,iliacus_l,psoas_l,quad_fem_l,gem_l,peri_l,rect_fem_l,vas_med_l,vas_int_l,vas_lat_l,med_gas_l,lat_gas_l,soleus_l,tib_post_l,flex_dig_l,flex_hal_l,tib_ant_l,per_brev_l,per_long_l,per_tert_l,ext_dig_l,ext_hal_l,ercspn_r,ercspn_l,intobl_r,intobl_l,extobl_r,extobl_l,pelvis_tilt_reserve,pelvis_list_reserve,pelvis_rotation_reserve,pelvis_tx_reserve,pelvis_ty_reserve,pelvis_tz_reserve,hip_flexion_r_reserve,hip_adduction_r_reserve,hip_rotation_r_reserve,knee_angle_r_reserve,ankle_angle_r_reserve,subtalar_angle_r_reserve,mtp_angle_r_reserve,hip_flexion_l_reserve,hip_adduction_l_reserve,hip_rotation_l_reserve,knee_angle_l_reserve,ankle_angle_l_reserve,subtalar_angle_l_reserve,mtp_angle_l_reserve,lumbar_extension_reserve,lumbar_bending_reserve,lumbar_rotation_reserve,arm_flex_r_reserve,arm_add_r_reserve,arm_rot_r_reserve,elbow_flex_r_reserve,pro_sup_r_reserve,wrist_flex_r_reserve,wrist_dev_r_reserve,arm_flex_l_reserve,arm_add_l_reserve,arm_rot_l_reserve,elbow_flex_l_reserve,pro_sup_l_reserve,wrist_flex_l_reserve,wrist_dev_l_reserve
0.9,520.265,165.271,0.824915,164.745,120.4,64.2693,0.567571,0.320749,0.390611,1.19079,37.6143,0.150464,0.153826,0.135784,0.163087,0.344905,76.5358,0.261225,0.13582,3.60982,1.0757,0.147559,1.9079,1.25353,0.126385,0.190218,0.437859,116.825,33.1532,36.8163,34.5183,0.683232,0.527999,0.68325,0.253756,0.255333,0.300647,0.582333,197.311,411.686,80.9573,170.038,2.59751,208.847,154.167,161.312,69.5622,71.4943,76.0594,0.487758,0.32004,0.430776,2.00505,72.1425,0.141325,0.14212,0.152918,0.168502,0.266902,122.795,0.262709,0.176391,68.1131,7.66732,0.220903,4.94761,3.50541,0.54456,3.74521,84.7669,302.963,2.69193,7.58484,6.00836,321.687,162.014,353.514,118.77,24.9233,15.8075,0.319958,1.41947,2.70259,0.348981,0.28725,0.321176,259.83,143.362,0.430526,0.520797,0.384073,0.278217,20.7918,-37.0355,29.4197,27.3193,-109.614,1.38131,-1.2654,-8.7868,13.7836,0.440301,1.26405,-19.2369,-0.857571,2.84414,-11.7738,-2.74971,1.56694,-4.41313,3.17766,0.23354,0.780269,0.599094,2.19585,-0.618883,-2.33948,-0.521596,0.803699,-0.0328488,-0.0264145,-0.10076,1.16543,0.0520019,-0.261049,0.396239,-0.00728295,-0.0338395,-0.0583013
0.94,279.02,63.1211,1.08621,35.6721,26.761,12.98,4.80043,3.90123,2.67052,4.90089,3.22138,0.943338,1.70395,3.7391,1.57669,1.78189,3.4795,1.35654,0.0853385,3.63993,1.81537,0.011328,2.77553,2.01042,0.813513,0.906418,0.785658,34.4518,2.03888,2.24518,2.97162,1.5877,1.4262,1.29337,1.19548,1.19797,1.171,1.56238,43.2386,211.738,13.7513,63.4604,5.00989,229.382,147.954,137.6,74.7673,79.8415,81.1088,0.664284,0.40788,0.496398,18.0344,96.167,0.111008,0.101695,0.103123,0.115511,0.188353,129.802,0.219459,0.209791,48.6572,6.35031,0.128537,23.7974,14.7407,0.380117,2.43636,66.9808,222.481,0.497583,0.452207,0.478725,331.475,150.059,365.507,35.1689,0.879989,1.15277,0.225426,49.9639,78.8219,1.1224,0.63014,0.344064,210.287,61.0177,0.323322,3.42547,11.7541,0.614134,10.7499,6.08581,19.0889,34.4161,-75.1957,15.7161,-0.516623,-1.37847,4.77266,-0.604096,0.943546,-2.06762,-0.303254,2.42616,-13.2306,-2.93175,-2.78507,-4.23979,-6.13307,0.0248969,-1.17934,1.07407,4.02144,0.795428,-0.808173,-0.184315,1.14267,-0.035914,0.0286898,-0.140251,1.08729,0.0450641,-0.247507,0.337421,-0.00579524,-0.0294608,-0.0520426
0.98,0.0187107,4.18451,16.4358,0.425593,0.837942,3.47787,46.7284,30.1306,36.2357,41.2041,11.1683,4.49815,4.72808,9.6455,3.70689,2.30541,5.905,5.27784,19.5732,10.0007,9.25302,3.68119,6.78385,6.42459,66.905,26.8796,24.8808,3.36749,1.39867,1.36881,1.44701,20.754,25.945,9.14244,81.6285,39.6506,31.2912,32.2544,0.366634,0.0329071,0.374283,0.657508,8.43191,172.756,94.1795,84.9487,54.6269,57.0002,55.9014,0.893339,0.601708,0.783343,32.43,83.9864,0.548551,0.400035,0.378294,0.368783,0.442591,109.307,0.789854,0.403241,9.20808,0.96461,0.304152,78.862,68.5278,1.21368,3.87533,46.1784,213.759,1.53513,1.5046,1.55585,317.995,139.836,395.114,63.5471,6.57356,9.34795,1.07751,9.42006,29.747,1.26026,1.13126,1.09808,242.237,53.6817,1.15235,2.34167,6.19013,0.779987,17.9877,19.5971,-1.67467,27.6688,0.684696,17.5934,0.933369,1.58816,-8.79992,-3.00829,-0.11572,10.766,0.410313,4.47526,-8.74477,-2.26046,-1.83067,-3.27728,1.54454,0.0909534,2.08942,0.66504,2.65842,2.76566,-0.128933,-0.257376,1.64627,-0.054891,0.0155664,-0.207197,0.829482,0.2563,-0.097376,0.431925,-0.0106395,-0.00535954,-0.0534149
1.03,22.925,54.6671,64.4219,6.29102,11.6023,24.5413,161.633,120.299,146.655,82.2233,3.1379,0.43554,0.126184,0.648638,11.2255,50.9653,1.11176,0.756316,4.99929,82.7422,84.2427,71.0215,0.697615,0.740172,31.8753,5.39151,39.1508,0.41339,0.696614,0.681078,0.699559,34.7324,33.6992,2.63941,61.0909,14.0939,10.0982,38.5818,4.21294,5.77419,6.08105,11.0659,13.4093,134.314,35.3593,25.9662,45.6166,36.4903,21.7884,0.414522,0.252681,0.314949,37.6597,116.063,0.0251015,0.230139,0.282924,0.298761,0.286901,137.596,2.28257,0.331097,0.169898,0.52286,0.165951,142.32,132.011,2.64071,5.56268,18.3081,262.326,1.11917,1.0595,1.17014,339.452,163.711,425.714,94.6279,29.9542,33.1365,1.29643,0.198504,0.423545,0.617173,0.628365,0.97681,262.631,68.0324,0.766585,1.01912,0.770558,0.358775,-3.12016,10.0185,-6.69114,-22.2029,56.2979,-10.177,-10.0426,-1.72418,1.84464,-7.34355,1.56514,-2.10139,0.0285713,12.1097,-8.37001,-1.51816,-2.61754,-4.56012,7.77338,0.341404,4.48996,0.707897,2.41497,3.88036,-0.724389,-0.213694,2.16108,-0.0518444,0.0362252,-0.30015,1.02049,0.180348,-0.190877,0.526764,-0.0196218,-0.0334776,-0.0692269
1.08,0.162677,0.473953,89.6173,0.208328,0.27045,0.613088,490.536,219.484,414.057,163.609,0.466034,383.281,266.721,281.033,202.425,116.338,0.327944,100.598,135.045,5.59362,48.9813,363.552,32.376,74.022,334.172,98.1741,119.158,0.323336,0.469224,0.458377,0.477388,410.922,258.689,490.925,1329.68,254.397,219.439,519.637,0.107505,0.111039,0.153345,0.278835,52.8922,121.106,2.50819,1.14905,62.2341,43.6791,13.1529,0.237869,0.206584,0.234652,104.474,138.72,0.462578,0.255232,0.264778,0.254617,0.272741,158.634,0.86739,0.242687,0.485638,0.49915,0.177919,302.884,299.231,1.19562,2.08241,2.5576,259.144,0.890612,0.854991,0.931635,539.662,232.737,739.496,116.486,21.1133,28.5503,1.02507,7.28407,24.2099,1.1935,1.01899,1.06375,206.356,25.1893,0.533038,2.95408,18.9464,0.0124952,-25.7417,126.72,4.82335,-29.3246,11.1733,-6.13523,2.51962,10.2603,-21.4006,-7.86819,0.145533,45.9935,2.28017,8.64164,-10.5481,-0.310713,-6.18692,-5.60866,1.09556,0.270983,1.10327,-0.0885898,2.45822,4.63402,-2.32365,-0.26341,2.3393,-0.0579668,-0.00971402,-0.351467,1.63032,0.270013,-0.328957,0.469282,-0.0324426,-0.0887733,-0.0792857
1.18,1221.17,576.922,299.185,334.997,326.301,279.248,0.190756,0.101523,0.112906,2.81136,217.76,0.0262885,0.0279662,0.0277999,0.0316164,0.0792285,333.728,0.0562064,0.0321503,304.616,244.63,0.0388824,0.270678,0.222987,0.0486227,0.159172,66.3254,551.778,90.6401,97.2385,137.757,0.0676507,0.0842154,0.0510471,0.0437005,0.061411,0.0750071,223.594,607.999,1188.75,327.679,859.358,128.585,0.163337,0.155832,0.175451,0.20546,0.181118,0.182903,10.3856,50.4686,13.6279,0.0309173,0.120451,551.628,350.041,296.743,239.645,177.818,0.153309,119.983,84.3754,0.22466,0.414703,205.393,132.617,141.399,75.6771,1.91842,0.286191,4.49271,71.2028,80.2883,101.463,318.248,257.83,1237.31,2059.47,396.542,353.419,696.268,0.0598908,0.0541317,0.0494537,0.0832359,29.092,259.542,179.784,0.359713,74.2969,0.525207,0.284656,24.1459,-268.765,38.6229,-20.3008,-10.7294,-53.4818,-4.66098,-38.6419,17.7406,3.7352,20.6682,-56.4041,-5.08554,4.49506,12.3667,6.54578,0.200331,-2.24344,66.1575,4.09246,3.14292,-0.701927,3.02213,5.10273,-1.33072,-0.102381,2.51664,-0.0609256,0.0128086,-0.374885,0.57526,-0.636879,-0.45064,0.691127,-0.0515899,-0.154334,-0.0824833
1.29,696.631,365.818,251.11,187.07,191.604,177.676,0.554423,0.316367,0.312063,0.393995,120.773,0.213405,0.223807,0.237507,0.255749,0.286191,220.571,0.258536,0.239326,203.147,177.414,0.278791,0.882765,0.730987,0.340546,0.697849,80.9938,445.078,166.342,176.694,234.127,31.8016,6.13112,97.3211,0.500171,0.753205,0.818502,1.47778,109.801,243.104,22.0122,8.85905,1.79536,814.926,146.485,0.437394,238.953,182.235,67.0594,0.601401,0.487394,0.464564,2.80385,101.49,0.138909,0.17681,0.144786,0.160508,0.380165,240.197,0.540107,0.171355,0.438879,0.446253,0.104592,171.174,123.859,0.206516,0.38477,0.45761,385.285,54.9692,62.8824,90.8899,0.261646,0.14337,0.0848463,0.105287,0.127404,0.136661,48.4185,364.772,721.486,249.045,490.417,57.4697,254.868,434.31,0.79189,12.595,0.864788,0.0105638,39.543,39.57,-49.4242,35.1725,-89.5736,28.1375,-2.94722,-26.4052,4.99275,2.82122,-1.82227,-9.09383,-0.0143559,4.30063,-21.3096,23.9431,0.619668,17.8528,-39.0304,-2.69121,3.45341,-2.41194,1.40348,0.0693986,0.013845,0.0573396,1.03924,-0.0137134,0.0948763,-0.185521,-1.09714,-0.559159,-0.0925602,1.47405,-0.029401,0.00500602,-0.128441
1.35,484.887,232.012,145.695,132.617,132.971,118.27,0.956773,0.462291,0.675865,7.59967,108.297,0.14806,0.129467,0.129345,0.15845,0.416353,178.784,0.41556,0.0839342,90.9676,60.9928,0.217311,7.08862,5.0102,0.45998,1.31998,47.4683,321.107,32.9085,36.6169,66.7418,119.635,49.4088,192.227,7.89824,5.81967,7.13394,1.59611,18.8951,63.5313,1.46965,0.855728,1.38948,0.15691,0.473571,67.544,0.22075,0.284701,1.2304,0.34313,0.0396427,26.306,3.29045,3.33338,54.1513,41.7344,51.0117,31.9506,7.8772,2.43651,19.0821,23.0637,25.8774,52.5082,89.7207,34.4533,36.0481,115.809,39.7463,65.4827,106.854,25.4893,28.2242,43.2614,72.0369,77.3944,153.893,477.292,138.57,121.55,229.346,0.0790564,0.0710323,0.127302,0.167856,13.6304,209.285,274.534,3.19222,1.08317,1.23022,0.853844,17.3843,-52.2988,11.2105,20.848,-110.768,3.56389,-0.254655,-18.6148,2.28929,0.344308,-1.87322,-1.00151,0.0695946,-0.754864,1.49415,-9.48966,-0.228288,0.574016,23.7921,1.41239,2.4314,0.0819117,-0.954811,-1.12457,0.694621,0.188273,0.623741,-0.00271823,0.114044,-0.104553,0.361364,0.408425,0.00271243,1.58602,-0.0257602,0.062948,-0.190774
1.4,157.21,72.079,42.1437,46.9509,46.2932,39.9291,0.746795,0.391705,0.542244,6.45218,40.2907,0.109565,0.107794,0.120391,0.169649,0.317125,66.6211,0.22099,0.104054,23.5119,14.9589,0.240762,19.5619,12.4156,0.306795,0.819585,15.6933,138.584,7.47787,8.25091,17.8699,183.816,98.3323,353.266,299.595,69.3099,63.2849,57.3,0.146518,0.14908,0.257217,0.280894,1.14519,6.58557,27.346,47.6243,6.41392,10.1564,19.6465,0.685847,0.744733,2.13943,53.8508,24.7128,0.254067,0.254335,0.23805,0.247515,0.323407,30.5337,0.449958,0.491091,20.2573,14.1473,1.37788,27.014,23.8578,4.72711,9.17549,30.7531,8.58147,1.11805,1.02412,1.45604,13.1279,9.01325,2.12311,31.9274,4.82512,4.7377,22.2085,6.4624,5.5401,6.53108,18.4126,5.57666,84.4489,112.96,21.493,3.93456,1.00879,0.028589,12.233,12.622,3.89936,40.1396,-60.7535,-14.1353,1.08802,-6.91257,0.745803,0.222965,-1.74894,11.669,0.750221,1.81378,-3.03186,-1.96439,-1.37241,0.66413,-0.404933,-0.0407241,2.1414,-0.274889,-1.59082,-1.07842,-0.359922,0.0793393,0.570883,-0.00528116,0.0659413,-0.0830782,1.16711,0.220161,-0.0375173,1.20941,-0.0254822,0.0487039,-0.166956
1.46,295.352,129.079,57.0374,101.127,97.2706,78.8189,0.845295,0.353772,0.509766,57.2515,104.429,0.0682661,0.0783762,0.0880622,0.103508,0.205221,151.266,0.139332,0.107723,12.7565,5.11869,0.147108,69.4202,53.6048,0.280798,0.858509,21.0614,144.565,0.362557,0.326358,0.276599,299.473,165.771,426.941,202.869,12.0496,17.7536,0.303666,4.91489,9.36962,0.833861,0.620859,0.612505,203.399,93.5695,22.9375,63.55,56.7903,39.0531,77.9302,36.1609,75.3916,96.4972,16.1937,0.346935,0.382843,0.351285,0.438504,1.55947,17.4077,0.638577,0.453259,34.4746,19.1084,0.288569,2.00828,1.15927,0.235738,0.396552,0.524297,0.474855,0.945174,0.849417,0.958906,19.5554,6.52232,1.67359,0.401746,1.05118,1.17646,8.29568,59.94,82.4335,25.3657,55.1442,6.18537,80.0932,113.995,50.0492,1.0274,0.516927,7.69059,-6.34227,11.0069,0.196115,15.906,53.7832,-4.74814,4.39341,-14.3325,0.93554,-2.24393,-2.38162,1.64335,0.178449,-0.619011,-4.02581,4.60285,-2.05256,1.07647,-4.21077,-0.258019,0.992441,0.467742,-1.8654,-2.13582,-0.468334,0.271003,0.264024,0.00610982,0.0998768,0.0161765,1.55162,-0.547792,0.0559586,1.13767,-0.0192504,0.0817366,-0.132484
